model_name,pw_name,dataset_name,fold_num,acc,f1,mcc,tp,fp,tn,fn,recall,precision,specifity,fpr,tpr,fnr,fdr
svc,amine_and_polyamine,test_df,1,0.9927140255009107,0.8823529411764706,0.8851892586642939,15,0,530,4,1.0,1.0,1.0,0.0,0.7894736842105263,0.21052631578947367,0.0
svc,amine_and_polyamine,test_df,2,0.9908925318761385,0.8484848484848484,0.8543744673429879,14,0,530,5,1.0,1.0,1.0,0.0,0.7368421052631579,0.2631578947368421,0.0
svc,amine_and_polyamine,test_df,3,0.9908925318761385,0.8484848484848484,0.8543744673429879,14,0,530,5,1.0,1.0,1.0,0.0,0.7368421052631579,0.2631578947368421,0.0
svc,amine_and_polyamine,test_df,4,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
svc,amine_and_polyamine,test_df,5,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
svc,amine_and_polyamine,test_df,6,0.9927140255009107,0.8823529411764706,0.8851892586642939,15,0,530,4,1.0,1.0,1.0,0.0,0.7894736842105263,0.21052631578947367,0.0
svc,amine_and_polyamine,test_df,7,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
svc,amine_and_polyamine,test_df,8,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
svc,amine_and_polyamine,test_df,9,0.994535519125683,0.9090909090909091,0.9103030733735102,15,0,531,3,1.0,1.0,1.0,0.0,0.8333333333333334,0.16666666666666666,0.0
svc,amine_and_polyamine,test_df,10,0.9963503649635036,0.9411764705882353,0.9410351753981755,16,0,530,2,1.0,1.0,1.0,0.0,0.8888888888888888,0.1111111111111111,0.0
nb,amine_and_polyamine,test_df,1,0.8342440801457195,0.2601626016260163,0.31536111080105217,16,88,442,3,0.15384615384615385,0.15384615384615385,0.8339622641509434,0.1660377358490566,0.8421052631578947,0.15789473684210525,0.8461538461538461
nb,amine_and_polyamine,test_df,2,0.8469945355191257,0.288135593220339,0.35183112480417306,17,82,448,2,0.1717171717171717,0.1717171717171717,0.8452830188679246,0.15471698113207547,0.8947368421052632,0.10526315789473684,0.8282828282828283
nb,amine_and_polyamine,test_df,3,0.8779599271402551,0.30927835051546393,0.35109468866021454,15,63,467,4,0.19230769230769232,0.19230769230769232,0.8811320754716981,0.11886792452830189,0.7894736842105263,0.21052631578947367,0.8076923076923077
nb,amine_and_polyamine,test_df,4,0.8542805100182149,0.2982456140350877,0.3612227928101686,17,78,452,2,0.17894736842105263,0.17894736842105263,0.8528301886792453,0.1471698113207547,0.8947368421052632,0.10526315789473684,0.8210526315789474
